;job_name;company_name;job_url;date
0;PESSOA DESENVOLVEDORA .NET SR - RHA5077;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTgyODIyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
1;Full Stack Developer (foco em back-end .Net) Pleno | Dev II ;Vórtx ;https://vortxtech.gupy.io/job/eyJqb2JJZCI6NTgxNTU3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
2;DEV .NET SR;NAVA | Technology for Business;https://nava.gupy.io/job/eyJqb2JJZCI6NTgyMjczMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
3;[MG] LIDER TÉCNICO .NET/Angular SENIOR - REMOTO #17064;iBlue Consulting;https://ibluetech.gupy.io/job/eyJqb2JJZCI6NTgxNzA2NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
4;Desenvolvedor .Net Core Sênior ;3CON | IT & Digital;https://trescon.gupy.io/job/eyJqb2JJZCI6NTgxMzE5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
5;Desenvolvedor .NET;The Bridge Vagas;https://thebridgesocial.gupy.io/job/eyJqb2JJZCI6NTgxMzQ3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
6;Analista Desenvolvedor PL/SQL e .NET Sênior;Engineering Brasil;https://engineeringbrasil.gupy.io/job/eyJqb2JJZCI6NTgwMjI4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
7;Desenvolvedor .Net Pleno - Serviços;Autoglass Tech;https://autoglasstech.gupy.io/job/eyJqb2JJZCI6NTc2NTk1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;30/10/2023
8;Desenvolvedor(a) .NET Sênior (REMOTO);Relevo;https://relevo.gupy.io/job/eyJqb2JJZCI6NTgwMTIwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;30/10/2023
9;Desenvolvedor(a) Back End [.NET/ Java];Digital Business;https://digitalbusiness.gupy.io/job/eyJqb2JJZCI6NTc5MzQxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;30/10/2023
10;5767008 - PESSOA DESENVOLVEDORA BACK-END PLENO (.NET);Quality Digital;https://qualitydigital.gupy.io/job/eyJqb2JJZCI6NTc2NzAwOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;27/10/2023
11;Pessoa Desenvolvedora .NET Pleno;Minsait an Indra Company;https://minsait.gupy.io/job/eyJqb2JJZCI6NTc0MjA4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;27/10/2023
12;Desenvolvedor(a) .Net/Angular Pleno;Confitec;https://confitec.gupy.io/job/eyJqb2JJZCI6NTczMDIzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;26/10/2023
