;job_name;company_name;job_url;date
0;Mecânico C  - CASE IH;Gees S/A;https://geessa.gupy.io/job/eyJqb2JJZCI6NTI2NzkxOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
1;Operador de Empilhadeira - C&C (D0M PEDRO);C&C Casa e Construção;https://casaeconstrucao.gupy.io/job/eyJqb2JJZCI6NTg0MjAzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;02/11/2023
2;Programa de Estágio 2024 - Estagiário de Desenvolvedor  Java e/ou C# (Rio de Janeiro);openlabs;https://openlabs.gupy.io/job/eyJqb2JJZCI6NTgyODMwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
3;Programa de Estágio 2024 - Estagiário de Desenvolvedor  Java e/ou C# (São Paulo) ;openlabs;https://openlabs.gupy.io/job/eyJqb2JJZCI6NTgyODI3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
4;PESSOA PRODUCT OWNER C/ EXP EM SEGURO ;NAVA | Technology for Business;https://nava.gupy.io/job/eyJqb2JJZCI6NTgyNzcwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
5;MECÂNICO DE MANUTENÇÃO C;Vagas e oportunidades no Grupo Rodonaves;https://rodonaves.gupy.io/job/eyJqb2JJZCI6NTgyNDc0Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
6;5815443 - PESSOA DESENVOLVEDORA SÊNIOR (BACK-END) .NET / C#;Quality Digital;https://qualitydigital.gupy.io/job/eyJqb2JJZCI6NTgxNTQ0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
7;Pesquisador(a) de Inovação C&T I | Engenheiro(a) de Desenvolvimento de Hardware - Instituto Hercílio Randon;Instituto Hercílio Randon;https://ihr.gupy.io/job/eyJqb2JJZCI6NTgyMTUzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
8;Pesquisador(a) de Inovação C&T I | Engenheiro(a) de Desenvolvimento de Firmware - Instituto Hercílio Randon;Instituto Hercílio Randon;https://ihr.gupy.io/job/eyJqb2JJZCI6NTgyMTQ3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
9;Pesquisador(a) de Inovação C&T I | Engenheiro(a) de Desenvolvimento de Freios - Instituto Hercílio Randon;Instituto Hercílio Randon;https://ihr.gupy.io/job/eyJqb2JJZCI6NTgyMTEwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
