;job_name;company_name;job_url;date
0;Pessoa Desenvolvedora Magento;Datum TI;https://datum.gupy.io/job/eyJqb2JJZCI6NTg1MzgzNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
1;Pessoa Desenvolvedora Python Pleno;Datum TI;https://datum.gupy.io/job/eyJqb2JJZCI6NTg1Mzc1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
2;Pessoa Desenvolvedora RPA JR;Certsys;https://certsys.gupy.io/job/eyJqb2JJZCI6NTgyMjk0MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
3;Pessoa Desenvolvedora Back-end Jr (Java) - Cód 1438;Softplan;https://softplan.gupy.io/job/eyJqb2JJZCI6NTgxMTQzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
4;Assistente de Comunicação Interna | Endomarketing | Employer Branding | Vaga afirmativa para Pessoas Negras (Home Office);Somos BHS 💙;https://bhs.gupy.io/job/eyJqb2JJZCI6NTg1Mjc4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
5;Pessoa Desenvolvedora Backend Sênior;Instituto de Pesquisas ELDORADO;https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6NTYxNDQ1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
6;PESSOA GERENTE DE PROCESSOS SR - RHA5063;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTgyNjEzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
7;PESSOA GERENTE DE PROCESSOS SR - RHA5061;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTgyMzg1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
8;Pessoa Designer UX/UI Júnior;Avivatec;https://avivatec.gupy.io/job/eyJqb2JJZCI6NTg0OTkwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
9;14159-Pessoa Desenvolvedora - (Java);GLOBAL HITSS;https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTY4MzUzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
10;Pessoa Especialista de Projetos de TI;Iguá Saneamento;https://vemserigua.gupy.io/job/eyJqb2JJZCI6NTY3MDE2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
11;Pessoa Especialista de Requisitos de Governança de TI;Iguá Saneamento;https://vemserigua.gupy.io/job/eyJqb2JJZCI6NTY3MDE2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
12;Pessoa Consultora Funcional Salesforce Pleno;Minsait an Indra Company;https://minsait.gupy.io/job/eyJqb2JJZCI6NTg0ODgxOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
13;Pessoa Desenvolvedora Salesforce Omnistudio Pleno;Minsait an Indra Company;https://minsait.gupy.io/job/eyJqb2JJZCI6NTg0ODYwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
14;PESSOA CONSULTORA DE RH RHA4910;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTgyODIyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
15;Pessoa Desenvolvedora Java Fullstack Sênior;Minsait an Indra Company;https://minsait.gupy.io/job/eyJqb2JJZCI6NTg0NjYyNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
16;PESSOA ENGENHEIRO DE TELECOMUNICACOES SR - RHA5066 - HOME OFFICE;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTg0Nzg0NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
17;Pessoa Cientista de Dados Júnior - Serviços Financeiros | Vaga afirmativa para pessoas com deficiência;Diversa - Bip Brasil;https://diversabip.gupy.io/job/eyJqb2JJZCI6NTgzMDc5OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
18;Closer (Executivo de Vendas) Júnior | Vaga Exclusiva para Pessoas com Deficiência (PcD);Blip;https://blip.gupy.io/job/eyJqb2JJZCI6NTgzMDU2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
19;Pessoa Desenvolvedora Backend (Plena);Grupo Petlove;https://petlove.gupy.io/job/eyJqb2JJZCI6NTY2NTUzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
20;Pessoa Desenvolvedora Front-end (Angular);MJV Technology & Innovation;https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6NTYxNjY3OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
21;Assistente de Atendimento Financeiro na Mooz - Vaga Afirmativa para Pessoas Negras (pretas e pardas) e com deficiência. ;Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTY3MDM4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
22;Pessoa UX Designer Sênior ;1Doc;https://1doc.gupy.io/job/eyJqb2JJZCI6NTgzMDI3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
23;Pessoa Egenheira Mobile Sênior;Datum TI;https://datum.gupy.io/job/eyJqb2JJZCI6NTgyNzIyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
24;Pessoa Analista de Sucesso do Cliente Pleno;Caju Benefícios;https://caju.gupy.io/job/eyJqb2JJZCI6NTc1NTUwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
25;Pessoa Consultora de Projetos Pleno;Zeev;https://zeev.gupy.io/job/eyJqb2JJZCI6NTgyODE3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
26;PESSOA DESENVOLVEDORA .NET SR - RHA5077;Spread Tecnologia;https://spread.gupy.io/job/eyJqb2JJZCI6NTgyODIyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
27;Pessoa Engenheira de Software Frontend  - Vaga afirmativa para Mulheres;Grupo SBF ;https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6NTgyNzIwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
28;Pessoa Desenvolvedora Frontend Especialista I - Vaga afirmativa para talentos diversos - Marketplace - Squad Catálogo;Grupo Boticário;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTc5NjQzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
