;job_name;company_name;job_url;date
0;Software Engineer Leader - Soluções de Crédito;Tech Sicredi;https://techsicredi.gupy.io/job/eyJqb2JJZCI6NTg1MDgxOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
1;Desenvolvedor(a) de Software Sênior;Grupo TecnoSpeed;https://grupotecnospeed.gupy.io/job/eyJqb2JJZCI6NTgyNzU3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;03/11/2023
2;Engenheiro de Software Full Stack Pleno;Logcomex;https://logcomex.gupy.io/job/eyJqb2JJZCI6NTc2ODA3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
3;Arquiteto de software (PL);ICTS;https://icts.gupy.io/job/eyJqb2JJZCI6NTY4NDU5OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
4;Pessoa Engenheira de Software Frontend  - Vaga afirmativa para Mulheres;Grupo SBF ;https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6NTgyNzIwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
5;Software Engineer Frontend (React) - Pleno;Seedz;https://seedz.gupy.io/job/eyJqb2JJZCI6NTgwOTY3MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
6;Sr Software Engineer;Gringo;https://gringo.gupy.io/job/eyJqb2JJZCI6NTgyMjA4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;01/11/2023
7;Sr. Software Developer (Java & C++);STEFANINI LATAM;https://stefaninilatam.gupy.io/job/eyJqb2JJZCI6NTc2OTc3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
8;Analista Engenharia de Software Jr | Afirmativa para pessoas negras;Elo;https://vempraelo.gupy.io/job/eyJqb2JJZCI6NTc2NTYxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
9;Desenvolvedor(a) Software Júnior (Exclusiva para Mulheres e Pessoas com Deficiência);Vivo Digital;https://vivodigital.gupy.io/job/eyJqb2JJZCI6NTc2NzMxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
10;SOFTWARE DEVELOPER PLENO - FRONTEND (ANGULAR);Mobi7;https://mobi7.gupy.io/job/eyJqb2JJZCI6NTc2Nzc2Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
11;Engenheiro de Software (vaga afirmativa para pessoas negras);Nitro;https://nitro.gupy.io/job/eyJqb2JJZCI6NTc1MzMwOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;31/10/2023
12;Arquiteto de software;MOVA;https://mova.gupy.io/job/eyJqb2JJZCI6NTgwMDk4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;30/10/2023
13;Senior Software Engineer - Tech Lead ;Trinus.Co;https://trinusco.gupy.io/job/eyJqb2JJZCI6NTYxOTg2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;30/10/2023
14;Software Engineer ;Sanar;https://sanar.gupy.io/job/eyJqb2JJZCI6NTc2ODgxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;30/10/2023
15;Senior Software Engineer Backend (Node.js e Python);Seedz;https://seedz.gupy.io/job/eyJqb2JJZCI6NTc2NzA1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;27/10/2023
16;Senior Software Engineer Backend (Python);Seedz;https://seedz.gupy.io/job/eyJqb2JJZCI6NTY5NTI2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;27/10/2023
17;Engenheiro(a) de Software Sênior (Remoto);GeekHunter 💜;https://geekhunter.gupy.io/job/eyJqb2JJZCI6NTc2NTk5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;27/10/2023
18;Pessoa Engenheira de Software Node.js/React (Pleno/Sênior);Vem ser Flash !;https://flash.gupy.io/job/eyJqb2JJZCI6NTc1Mzk3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal;26/10/2023
